Meal Name;Servings;Total Time (mins);Link to Website;Cooking Instructions
Roasted Butternut Squash and Chickpea Curry;4;55;https://cupfulofkale.com/vegan-roasted-butternut-squash-and-chickpea-curry/;"1. Preheat oven to 200C.
2. Cut butternut into roughly equal sized cubes about 1/2-1 inch.
3. Place on a large baking tray, drizzle generously with oil salt and pepper, toss and place in the oven for 35-40 minutes until soft through and starting to brown on the edges.
4. In the meantime, start the curry. Add coconut oil to a large pan on medium heat, once melted add finely chopped onion. Stir and fry for a few minutes then add crushed garlic and grated ginger. Leave to cook for a further minute.
5. Add all the spices - curry powder, garam masala, cumin, cumin seeds, turmeric and chilli powder. Cook for 30 seconds until fragrant, add a little more oil if needed so it doesn't burn.
6. Add the chopped tomatoes, coconut milk and vegetable stock. Bring to a gentle simmer and let cook for 10 minutes. Transfer to a bowl and blend with a hand blender till smooth, or a food processor. Transfer back to the pan.
7. Add the chickpeas and cook for a further 5-10 minutes, it should have thickened and be nice and creamy and orange in colour. Taste the sauce and season with salt and pepper. If you like it spicy you can add some extra chilli powder.
8. Add the roasted butternut squash, stir and serve! Top with some chopped fresh coriander and serve with basmati rice and your favourite sides - like my onion bhajis!"
Aperol Spritz Lollies;;;https://www.instagram.com/p/C1ZAsuSpxq1/;Mix all ingredients together in a jug (3:3:2 parts). Pour into popsicle moulds. Freeze overnight or until completely frozen.
Mango Granita;;;https://www.instagram.com/p/C3aez42Nf9R/;"1. Dish half a cup of yoghurt into a bowl.
2. Peel and grate the mango (which should be frozen).
3. Grate some lime/lemon zest.
4. Add chopped chocolate and mint with some cubed mango."
Caramelised Onion & Pumpkin Frittata;4;;https://www.instagram.com/p/C3qXj-zSiM8/;"Preheat the oven to 180°C. Line a baking tray with baking paper.

Arrange the pumpkin pieces on the baking tray. Drizzle with 2 tablespoons olive oil and season with sea salt and pepper. Place the tray in the oven to roast for 25 minutes.

Whilst the pumpkin is roasting, heat the remaining olive oil in a non-stick frying pan over a medium heat. Add the sliced onion to the pan and cook for 6-7 minutes until softened. Add the balsamic vinegar and coconut sugar and stir to coat. Reduce the heat slightly and cook for a further 7-8 minutes or until the onion is golden and caramelised.

Meanwhile, crack the eggs into a large mixing bowl and season with sea salt and black pepper. Whisk the egg mix until light and fluffy. Add in the chopped rosemary and whisk again.

Line a baking dish or quiche dish with baking paper. We used a 20cm by 30cm dish. Spread the shredded spinach leaves and half of the roasted pumpkin and onion across the base of the dish. Pour the egg mixture evenly over the top. Place the remaining pumpkin and onion on top of the egg mix. Crumble the goat’s cheese over the top.

Place the frittata in the oven to bake for 25 minutes.

Keep stored in an airtight container in the fridge for 4 days. 

Makes: 6-8 slices "
One Pan Spinach and Artichoke Orzo Bake;6;35;https://www.halfbakedharvest.com/spinach-and-artichoke-orzo-bake/;"1. Preheat the oven to 200° C.
2. In a 23×33 cm baking dish, combine the olive oil, garlic, onion, basil, paprika, chili flakes, salt, and pepper. Add the dry orzo, artichokes, and pesto. Pour over 2 1/4 cups of water and stir to combine. Place the spinach on top. Bake for 12-15 minutes, until most of the water has cooked into the pasta, but not all of it.
3. Stir the pasta around, then sprinkle the cheeses overtop. Bake another 10 minutes, until the cheese has melted and the sauce is bubbling. If there's a lot of oil from the pesto on top, drain off the excess. Top with fresh basil!"
Mark's Magic Mushroom Sauce;6;;;"1. Add butter to a frying pain and saute almonds until golden.
2. Then add mushrooms, the juice of half a lemon, 2T parsley, salt and pepper.
3. Cook gently over low heat until mushrooms are tender.
4. Stir in the cream and heat through.
5. Serve over fish with a sprinkle of parsley on top."
Caprese Salad;6;10;;Chop and combine.
Thai Coconut Shrimp Curry;;;https://www.servingdumplings.com/recipes/thai-coconut-shrimp-curry/;
Sriracha Egg Mayo Rolls;4;20;;"1. Boil eggs.
2. Cream yolks with sriracha mayo.
3. Mix in chopped egg whites.
4. Spread onto rolls and pack."
Shakshuka;6;;;
Prawn Linguine;4;20;https://www.bbc.co.uk/food/recipes/prawn_linguine_02687;"1. Cook the linguine in a saucepan of salted boiling water for about 10 minutes until al dente, adding the peas after 8 minutes.

2. Meanwhile, heat the oil in a large saucepan or frying pan over a medium heat and fry the garlic with the chilli flakes for 30 seconds, without colouring.

3. Add the prawns and toss in the garlic. Stir in the mascarpone, rocket, lemon zest and juice and heat for a minute or so, or until the rocket wilts.

4. Drain the pasta and peas, add to the sauce and mix together. Season with salt and pepper. Make sure that the prawns, rocket and peas are evenly distributed before serving."
Asian Slaw with Sesame Ginger Dressing;4;20;https://thekitchengirl.com/asian-quinoa-slaw-salad-sesame-ginger-vinaigrette/;"1. Toast sesame seeds.
2. To make the slaw, combine CABBAGE, cooked QUINOA, CARROTS, CILANTRO, and GREEN ONIONS in a large mixing bowl. Cover and refrigerate until ready to dress and serve.
3. To make the dressing, combine RICE VINEGAR, MAPLE SYRUP, SOY SAUCE, GINGER, and GARLIC in a mixing bowl. Slowly drizzle in OLIVE OIL and SESAME OIL, and whisk or blend until well-combined. Add SALT and PEPPER to taste.
Cover and refrigerate until ready to dress and serve.
4. To serve, add toasted nuts and seeds to the salad. Add the dressing and toss to combine.
5. Store dressed slaw in an airtight container up to 24 hours. Non-dressed slaw can be stored up to 5 days."
Pumpkin & Ginger Soup;2;5;;
Slow Cooked Aubergine and Coconut Curry;3;30;;"Warm meal.
Make rice.
Fry paratas in a small amount of buter."
Spicy Sesame Carrot Soup with Red Lentils;6;65;https://thefirstmess.com/2021/09/08/spicy-sesame-carrot-soup/#recipe;"1. Set a large soup pot over medium heat and pour in the olive oil. Swirl the oil around a bit and then add the onions to the pot and stir. The onions should be sizzling, but on the quieter end of sizzling. Lower the heat if necessary. Keep cooking the onions, stirring occasionally, until very soft and translucent (but not browning), about 7-8 minutes.

2. Add the ground cumin and coriander to the pot, along with the ground chillies as well. Stir and cook along with the onions for one full minute.

3. Then, add the minced garlic and ginger to the pot and stir. Keep cooking until the garlic is very fragrant, about 1 minute.

4. Add the carrots to the pot along with big pinches of salt and pepper. Stir the carrots to coat them in the spices and sautéed onions. Then, add the red lentils to the pot and stir once more. 

5. Finally, pour in the vegetable stock and give it a final stir. Bring this broth-y carrot, lentil, and spice mixture to a boil and then lower your heat to a simmer. Simmer this mixture uncovered, stirring here and there, until the carrots are quite soft, about 30 minutes.

6. Carefully ladle the broth-y carrot, lentil, and spice mixture into the pitcher of an upright, vented blender.

7. To this mixture, add the tahini, sesame oil, and soy sauce. Close the lid on the pitcher and slowly bring the speed of the blender up to high. You may have to add a few splashes of water to get things moving. Blend until you have a completely smooth puree.

8. Pour the spicy sesame carrot soup back into the pot. At this point, you can leave it as-is or add some water to make the texture a bit more fluid. I personally like a bit of fluidity in pureed soups, so I added 2 cups of water at this point. Bring the soup up to a boil, stirring often.

9. Stir in the lemon or lime juice.

10. Give the soup a taste at this point to see if you need to adjust some of the seasoning. Maybe it needs even more lemon/lime for your taste, some extra pepper etc. Adjust the seasoning to your liking and then serve! I topped mine with chopped cilantro, drizzles of tahini and chili oil, and sesame seeds."
Frozen Banana Snickers;;;;"1. Cute bananas lengthways.
2. Put peanut butter on the banana.
3. Sprinkle peanuts over the banana.
4. Drizzle over chocolate."
Frozen Mango;4;;;
Healthy Quinoa Fried Rice;;;https://healthygirlkitchen.com/recipes/healthy-quinoa-fried-rice-veganplant-basedgluten-free%e2%81%a3%e2%81%a3/;
Mexican Stuffed Sweet Potatoes;2;;https://healthygirlkitchen.com/recipes/mexican-stuffed-sweet-potatoes-vegan-oil-free/;"1. Cook the sweet potato and set aside . 
2. Add the chili powder to the rinsed black beans and then heat them up on the stove top for a few minutes until hot. 
3. Cut the sweet potato in half and open it up slightly to fit your other ingredients. 
4. Mash up and prepare the guacamole ingredients (avocado, lime juice, garlic, and salt). 
5. Top the sweet potato with the black beans, sour cream, salsa and guacamole."
Vegan Mediterranean Pasta;4;;https://healthygirlkitchen.com/recipes/vegan-mediterranean-pasta/;"1. Cook pasta. While pasta is boiling, get a large non-stick pan and start sauteing the zucchini.
2. Saute zucchini in a little water or avocado/olive oil, your choice. Saute until tender but not too mushy.
3. Add artichokes to pan, just dump the whole jar in there!
4. Strain pasta and add into the pan with zucchini and artichokes.
5. Add spinach, tomatoes, oregano, olives, garlic, red wine vinegar, salt + pepper
6. Keep the pan on low heat and stir until everything is combined and the spinach is wilted.
7. Serve and enjoy!"
Green Goddess Panini;2;10;;"1. Blend drained chickpeas with pesto.
2. Spread chickpea pesto on the bread.
3. Top one side of the sandwich with rocket, artichoke and avocado.
4. Put other half of bread on top and toast in a press."
Winter White Cheese Board;;;https://fashionablehostess.com/winter-white-cheese-board/;
Tashas Halloumi Salad;2;;;
Palak Paneer (Halloumi);4;30;https://minimalistbaker.com/vegan-palak-paneer-with-curried-tofu/;"This recipe is all about multi-tasking and is totally doable in 30 minutes.
1. Start by preheating the oven to 218 C and cube your halloumi.
2. Add halloumi to a medium mixing bowl. Season with curry powder, coconut aminos, sea salt, and nutritional yeast. Shake the bowl to gently toss. Set aside.
3. Heat a medium oven-safe seasoned cast iron over medium heat. Once hot, add the halloumi and sauté for 3-4 minutes, or until a couple of the sides are browned. Then transfer to the hot oven and bake for 15 minutes.  Set aside to rest in the pan.
4. Fill a large pot halfway full with water and bring to a boil over high heat. While you wait, move on to the next step.
5. Heat a large rimmed skillet over medium heat. Once hot, add oil and cumin seed, ginger, onion, and jalapeno. Sauté until onion is soft and translucent — about 5 minutes.
6. Add diced tomatoes and garlic and stir to combine. Sauté for 3-4 minutes, or until the tomato has softened.
7. Your water should be boiling now. Add spinach and cook uncovered for 2 minutes. Then strain and rinse with cold water. Drain well. Set aside.
8. Add the tomato mixture to a blender or food processor along with cooked drained spinach and the vegetable broth (or water). Blend into a smooth sauce, scraping down sides as needed. If it has trouble blending, add more vegetable broth or water.
9. Lastly, cook your sauce. Heat the same rimmed skillet from earlier over medium heat. Once hot, add remaining oil (or some water), curry powder, and garam masala. Stir and cook for 30 seconds.
10. Add the spinach sauce and stir. Cook the mixture over medium-low heat for about 3-4 minutes to deepen the flavors. If it bubbles too much, lower heat to a simmer. Then add coconut milk and stir.
11. Taste and adjust flavor as needed, adding salt or coconut aminos to deepen the flavor and curry powder for more rich curry flavor.
12. Serve over your halloumi and garnish with another drizzle of full fat coconut milk and fresh cilantro. Rice makes a lovely side, as does garlic naan!

Store leftovers covered in the refrigerator up to 4-5 days, or in the freezer up to 1 month. Reheat in the microwave or in a rimmed skillet until hot."
Baby Restock;;;;
Crunchy Mexican Salad;4;;;"1. Preheat the oven to 230°C fan.
2. Place the sweetcorn in a large baking tray (with space for the seeds) with a drizzle of olive oil, a pinch of salt and the cumin. Mix well and cook for 15 minutes until crispy. Mix the sunflower seeds with the paprika, and add them to the corn for the last 5 minutes of the cooking time.
3. While they cook, make the dressing and dip by placing the cashews in a food processor and pulsing until a smooth mixture forms - you may need to add a few tablespoons of the almond milk to help this along, it should take a minute or two. Once smooth, add the rest of the ingredients (1 avocado, lime juice, coriander, garlic), along with some salt, and pulse until smooth. You can add more almond milk depending on the consistency you like best.
4. Place the lettuce in a large mixing bowl, with the sweetcorn, sunflower seeds, avocado, tomatoes, coriander and a generous sprinkling of salt. Pour half the dressing over the salad and mix well.
Spoon the other half into a small bowl to use as a dip.
5. Divide the salad between plates and crush the tortilla chips over the top of each - do this right as you serve the salad so that they stay crunchy. Have a bowl of extra tortilla chips on the table to accompany the bowl of dip.
*you can add black beans to make this more filling"
Mike’s Clothing Refresh;;;;
Home Restock;;;;
Nut & Seed Granola;;;;"Place ingredients on a baking tray (except coconut flakes).
Cover with honey.
Bake until golden.
Allow to cool.
Combine coconut flakes."
Green Quinoa Risotto;4;30;;"1. Put the onion and garlic into a saucepan over a medium heat with a drizzle of olive oil, a pinch of salt and pepper and gently heat for about 5 minutes, until softened. The smaller you've cut the onion the quicker it'll cook, and the better it will mix into the quinoa.
2. Once the onion is soft, stir the quinoa into the mixture. Dissolve the stock cube in the boiling water then pour into the pan. Let the liquid come to the boil, then turn the heat down to a simmer and cook for 10-12 minutes, until the quinoa is light and fluffy.
3. While the quinoa cooks, chop off the woody ends of the asparagus and slice the stems into rounds. Place in a frying pan with the courgette half-moons and a drizzle of olive oil and a pinch of salt and gently sauté on a medium heat, until soft.
4. Now make the pea purée. Put the frozen peas into a bowl and cover with boiling water. Leave them for a couple of minutes, then drain and add to a blender with the lemon juice, 3 tablespoons of olive oil, the mustard, almond milk, nutritional yeast, and some salt and pepper. Blend until smooth.
5. Add the pea purée, courgette and asparagus to the pan with the quinoa and stir everything together.
6. Add a handful of rocket and lots of pepper on the top of each serving."
Pancakes;10;;https://culinarycartel.com/perfectly-simple-pancakes/;"1. Sift the dry ingredients together and make a well in the flour.
2. Mix wet ingredients together. Pour the wet ingredients into the well in the flour, and whisk until the batter is smooth. The butter might cool and leave a few buttery lumps in the batter – don’t stress about these, they will melt once cooked.
3. The batter should be the consistency of double cream/heavy cream. Add 2-3 tbsp more water if needed to loosen it up.
4. Cook on medium heat in a nonstick pan, coated with a knob of butter. I use a 30cm pan, and just over ¼ of a cup of batter per pancake – try to keep them as thin as you can manage.
5. Place the pancakes onto a plate then sprinkle over a generous amount of cinnamon, sugar and lemon juice. Keep stacking the pancakes up, adding more cinnamon, sugar and lemon juice between each layer. This will melt into the layers, making them extra delicious. Place the plate in a warmer or a low oven to keep nice and warm.
6. Serve them up as is, or add your own favourite toppings like berries and whipped cream."
Vanilla Soft Serve Coconut Nice’Cream;2;;https://www.instagram.com/p/CLjCbRfpkH0/;"1. Freeze bananas.
2. Cool coconut milk.
3. Blend all ingredients."
Weekly Essentials;;;;
Chocolate Chip Cookies;16;;https://bromabakery.com/best-chocolate-chip-cookies/;"Brown the butter over medium heat, stirring constantly until the butter begins to foam and turns a golden brown, emitting a nutty aroma. Make sure you only brown the butter lightly. When butter browns the liquid evaporates off which can dry out your dough. As soon as the butter starts to turn brown and smell nutty, take it off the heat to prevent any more liquid from escaping.  Take butter off the heat and allow to cool.

In a large mixing bowl combine the cooled brown butter, brown sugar, and white sugar. Beat until mixed together. Add in the egg, egg yolk, and vanilla extract. Mix well.

In separate bowl mix together the flour, salt and baking soda. Mix half the dry ingredients into the wet until everything comes together. Slowly add in the remaining flour a little bit at a time, stopping if the dough starts to get too dry.* Fold in the chocolate. Do not over mix.

Refrigerate the cookie dough for at least a half hour, or overnight.

When you are ready to bake the cookies, preheat the oven to 350°F and line a cookie sheet with parchment paper. Use a 1 ounce cookie scoop to scoop the cookie dough out into balls, placing them 2 inches apart on the prepared sheet. Bake for 11 minutes, or until the edges are just golden brown and the centers have puffed up but are still gooey.  You could place cookie dough scoops in the freezer if you want to bake later (within 3 months).

Allow to cool before eating!"
Cheesy Brinjal Bake;6;40;https://taste.co.za/recipes/cheesy-brinjal-bake/;"1 Slice into the brinjals, leaving the tops still intact, to make a fan shape.

2 Heat a large pan and add half the olive oil. Fry the brinjals until golden brown on both sides, seasoning with salt and pepper. Place in an ovenproof dish.

3 Preheat the oven to 200°C. To make the sauce, heat a saucepan and add the remaining olive oil. Fry the onion over a medium heat until it begins to soften and caramelise slightly.

4 Add the spices and oregano and fry for 1 minute, then add the garlic and chilli and fry for another few minutes. Stir in the tomato paste, then pour in the tomatoes. Break them with a wooden spoon to make a chunky sauce. Sprinkle in the sugar.

5 Simmer for 10 minutes, then pour over the brinjals. Crumble over the feta, top with the mozzarella and cover with tinfoil. Bake for 20 minutes, or until the brinjals are soft and cooked through when pierced with a knife. Uncover and grill until golden brown. To serve, spoon over the basil pesto and top with torn basil leaves."
Cleaning Restock;;;;
Sweet Potato Fries;2;;;"1. Preheat the oven to 220 degrees Celsius.
2. Spread the sweet potato chips evenly  on a baking tray.
3. Bake for 20 mins, turning occasionally.
4. Season and serve."
Toiletries Restock;;;;
Mexican Street Corn;4;20;;"1. Clean sweetcorn.
2. Boil in salted water.
3. Char on the braai.
4. Brush with melted butter and top with chipotle spice and a squeeze of lime."
Pesto Couscous Salad;4;10;https://www.instagram.com/p/CgiO2F7Jfe5/;"1. Make couscous (2c)
2. Steam peas (1c).
3. Dice and saute zucchini in olive oil, salt and pepper.
4. Chop basil (0.5c) and mint (0.5c)
5. Combine all ingredients.
6. Top with salt, pepper and lemon juice."
Chili Garlic Broccolini;4;15;https://whatsgabycooking.com/the-best-chili-garlic-broccolini/;"1. In a large pot over medium heat, bring 3L of heavily salted water to a boil. Have a large bowl of ice water ready on the side.
2. Add the broccolini and cook for 2 to 3 minutes, depending on the size of the broccolini. Quickly drain the water and place the broccolini in the ice bath to stop the cooking process. When the broccolini is cool remove them from the ice bath and place on a paper towel- lined plate.
3. Preheat the oven to broil with a rack set in the top third of the oven. In a medium bowl toss the broccolini in olive oil, shallot, garlic to coat then arrange in a single even layer on a baking sheet.
4. Sprinkle it with red pepper flakes and sea salt. Broil until the tips of the broccolini start to char but are not burnt, about 5 to 6 minutes.
5. Remove from the broiler and place back in the bowl. Add the red wine vinegar and chili oil and serve."
Greek Salad;4;10;;Combine all ingredients.
Chocolate Chickpea & Coconut Bark;10;45;https://healthygirlkitchen.com/recipes/vegan-chocolate-chickpea-bark-oil-free/;"1. Preheat oven to 220 C.
2. Add your rinsed, drained and dried chickpeas on a baking sheet lined with parchment paper.
3. Bake for 30-35 minutes or until crunchy and golden brown. Do not burn!
4. Pan fry coconut flakes until toasted (30g = 1cup).
5. Melt chocolate and coconut oil in a bowl in 30-second increments, stirring each time, until completely melted.
6. Combine the chickpeas, coconut flakes and chocolate in a bowl and stir. 7. Add back onto the parchment on the baking sheet and spread evenly into 1-layer.
8. Put in the freezer and allow it to harden for at least 15 minutes.
9. Serve and enjoy!
(Store in fridge or freezer.)"
Broccoli Flatbread;12;45;https://greenkitchenstories.com/vegetable-flatbreads/;"1. Preheat the oven to 200°C and line a baking tray with baking paper.
2. Coarsely chop the broccoli (use the brighter part of the stem too), place in food processor and blend until you have got a fine rice-like texture.
3. Measure 4 cups of the vegetable ‘rice’ and place in a mixing bowl.
4. Add ground almonds, salt and pepper (plus herbs, if using) and mix with your hands.
5. Make a well in the centre and add the eggs.
6. Whisk the eggs with a fork.
7. Use your hands to pull the dry ingredients towards the middle until everything is combined and you can shape it into a ball. It should be more loose and wet than a traditional bread dough.
8. Transfer to the baking paper and form into a rectangular base by flattening the dough with your hands.
9. Bake on the middle rack in the oven for 23-25 minutes or until slightly golden and firm.
10. Remove from the oven and let cool completely.
11. Turn it upside-down and carefully remove the baking paper.
12. Cut into bread-sized slices and store in the fridge."
Chimichurri Fish Tacos;4;30;https://camillestyles.com/food/the-chimichurri-fish-tacos-i-crave-all-summer/;"1. Make the chimichurri by combining everything (cilantro, parsley, paprika, red onion, garlic, red wine vinegar, olive oil, salt, pepper) in a blender. It should be the consistency of a thick pourable sauce, so you may need to add a little more oil or a touch of hot water to thin it out.
2. First, the hake: cut it into strips, then toss in a bowl with 1/4 cup chimichurri until fish is coated. Refrigerate for at least an hour and up to 3 hours.
3. Toss the cabbage with a teaspoon or so of chimichurri, a drizzle of olive oil, and a pinch of salt. Set aside.
4. In a small bowl, mix together 2 tablespoons chimichurri with the mayo. This is your ""crema"" sauce.
5. Heat a large nonstick pan (or a grill) over medium-high. Sprinkle the hake with salt, then cook for a couple minutes per side, until slightly caramelized on the outside and cooked through on the inside. Set aside.
6. Warm the tortillas (I like to do it over a gas stovetop flame so it gets charred), then fill with cabbage, smashed avocado, and hake.
7. Drizzle with the chimichurri crema, then garnish with onions, cilantro, and a squeeze of lime."
Simple Baked Fish;2;10;;"1. Preheat the grill.
2. Grease a baking tray and arrange the frozen hake fillets on the tray.
3. Season with salt, pepper and add a large knob of butter.
4. Grill for 5–7 minutes."
Classic Italian Tiramisu;8;15;https://whatsgabycooking.com/classic-italian-tiramisu/;"1. Whisk together the cocoa powder, espresso and vanilla in a bowl and set aside
2. In a mixer or using a hand mixer, beat the egg yolks and sugar until pale and thick, about 5 minutes.
3. Add in the salt, mascarpone cheese and continue to whip until smooth.
4. Add the chilled cream and continue to whip, until light, creamy, smooth and can hold a soft peak.
5. Dunk each ladyfinger in the espresso mixture to absorb the liquid and start to line a 7×11 oval baking dish with the cookies.
6. Top the first layer of cookies with ½ of the whipped mascarpone mixture and use the back of a metal spoon to spread it into an even layer.
7. Dust with cocoa powder.
8. Repeat for another layer and then finish by dusting with cocoa powder on top.
9. Cover with plastic wrap and chill for at least 2 hours before serving."
Crispy Gnocchi with Parmesan Pea Purée;2;30;https://www.healthylittlevittles.com/crispy-cauliflower-gnocchi-with-parmesan-pea-puree/;"1. Grate parmesan.
2. Toast pine nutes.
3. Pour 2 cups of peas into a glass measuring cup/glass bowl and cover the peas with water. Microwave the peas for 2 minutes, strain and then place the peas into your food processor/blender.
4. Add the remaining pea purée ingredients to the food processor/blender and blend on high until very smooth. Cover and set aside while you make your gnocchi.
5. Melt 1 tablespoon of coconut oil in large skillet over medium heat until melted, then add the gnocchi to the pan. Saute the gnocchi until it starts to turn golden and crispy, tossing frequently to crisp on all sides.
6. Serve immediately with Parmesan Pea Purée, toasted pine nuts, mint leaves (if desired) and more Parmesan cheese (if desired)."
Hot chocolate;2;10;https://www.theconsciousplantkitchen.com/vegan-hot-chocolate/;"1. Warm milk in nutribullet cup for 2 mins.
2. Add other ingredients.
3. Mix in nutribullet.
4. Heat again in microwave in 30sec increments (about 4 times)."
